Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
XMR,2018-11-05,109.4480948362,110.8998513227,111.6425024721,106.8631731918
XMR,2018-11-06,112.4418503325,109.4604013932,113.5033016954,109.1133955347
XMR,2018-11-07,111.0562363551,112.4533461356,113.0664058421,109.2593004161
XMR,2018-11-08,109.2162012392,111.07837661,111.6059980428,107.2990252873
XMR,2018-11-09,107.0551459142,109.215881808,109.7904672601,106.0096050556
XMR,2018-11-10,105.6219533522,107.0546575348,108.5789675227,105.3566667678
XMR,2018-11-11,106.3062596995,106.3211232406,106.6691648731,103.2066110837
XMR,2018-11-12,107.1163651209,106.3062546387,108.5160964409,103.6917242319
XMR,2018-11-13,105.6915030578,106.7755058614,107.8827923647,104.8966682615
XMR,2018-11-14,91.5725984154,105.691692185,106.9085462826,88.6327434856
XMR,2018-11-15,89.5282529522,91.5714950149,94.5686518068,82.4319946706
XMR,2018-11-16,88.8669871892,90.73903716,91.0766178569,88.521021897
XMR,2018-11-17,89.3295618704,89.108651036,90.575163329,87.0304414477
XMR,2018-11-18,87.8333998575,89.3282424337,94.457759232,87.4234296836
XMR,2018-11-19,73.2674940272,87.8136199286,90.8496492384,72.1906846368
XMR,2018-11-20,64.9871610559,73.2636880825,74.445926318,63.034927081
XMR,2018-11-21,69.1918665192,66.8247447107,70.5891978046,64.0277155083
XMR,2018-11-22,68.7696138201,69.1749038271,71.7088269031,64.3374242017
XMR,2018-11-23,68.0930535653,68.7688295686,68.8822929294,62.9651423606
XMR,2018-11-24,59.9255374237,68.0971638202,70.3656086777,59.4501549403
XMR,2018-11-25,58.264469263,59.7562692721,61.0067652698,53.7957847707
XMR,2018-11-26,53.5803977433,58.2675190812,60.5401647049,53.271060626
XMR,2018-11-27,58.9456943954,53.5806506247,59.6251712287,52.8252132333
XMR,2018-11-28,62.8794017278,58.9456605363,65.7300018074,56.9646453961
XMR,2018-11-29,60.9101765221,62.8641108331,65.5330463108,60.0886110605
XMR,2018-11-30,57.3761203748,61.2828600924,63.0989118973,56.8269057443
XMR,2018-12-01,60.2178983638,57.3761834492,61.97150254,57.2063420539
XMR,2018-12-02,59.615471662,60.2178983638,61.7983269105,58.1801839308
XMR,2018-12-03,54.9622549861,59.6153220999,60.0042974609,53.6772784225
XMR,2018-12-04,56.4797989692,54.9622786662,59.7571289689,53.6449689773
XMR,2018-12-05,51.9700813349,56.4778560568,57.6088616461,51.9670518029
XMR,2018-12-06,47.8447300293,51.9270909973,53.8066020419,47.6973612921
XMR,2018-12-07,46.1186959307,47.8447267612,48.4640766494,42.8644145015
XMR,2018-12-08,45.9123929966,46.1186978247,49.6044115235,43.3273620417
XMR,2018-12-09,46.8860666407,45.9125341539,48.7060149497,44.7514096092
XMR,2018-12-10,44.1189030575,46.8883690002,47.9882144852,43.6154993214
XMR,2018-12-11,43.229271856,44.2789694826,44.455390541,41.5184762353
XMR,2018-12-12,43.2729684027,43.229272155,44.749675956,41.9966853679
XMR,2018-12-13,40.989433404,43.6841131125,44.0306636833,40.4882059554
XMR,2018-12-14,39.9292109949,40.9892730816,42.7049837093,38.5198567149
XMR,2018-12-15,39.1366513221,39.9292165535,39.9293852422,37.8271841672
XMR,2018-12-16,39.195194527,38.9628349289,40.6547323574,38.6025373488
XMR,2018-12-17,42.816559869,39.1951628155,43.8264327563,38.6837488422
XMR,2018-12-18,44.461169644,42.8164393507,44.7556424456,42.0079001153
XMR,2018-12-19,46.175117074,45.7108989613,50.1080335166,44.2770499769
XMR,2018-12-20,53.849612128,46.1750973646,55.0420889297,44.696351005
XMR,2018-12-21,51.0795821491,53.8497928477,56.6177744457,49.5903214405
XMR,2018-12-22,50.1872253311,51.1759269045,52.4029941101,49.3096295004
XMR,2018-12-23,52.3676129642,50.1872253485,54.7157248584,50.098903525
XMR,2018-12-24,55.7257038665,52.5903108656,57.6553400147,52.1518626524
XMR,2018-12-25,50.3672698036,55.6163774582,55.8306330246,47.5214322681
XMR,2018-12-26,49.0197108358,50.3674256516,52.3165578267,46.8043728158
XMR,2018-12-27,44.0193518111,48.9848363103,49.1564540594,42.9112969408
XMR,2018-12-28,48.7982199811,44.0196361537,50.719798065,43.1505294758
XMR,2018-12-29,46.72,49.3881465,49.8458306641,46.72
XMR,2018-12-30,47.81496062,46.7424349758,48.4339976,46.2638944
XMR,2018-12-31,45.4716672693,45.6912886266,45.6915506038,45.4716014482
XMR,2019-01-01,47.2511942601,45.9549820249,47.4290413332,45.2954703883
XMR,2019-01-02,50.8249168049,47.2511948567,53.0336533167,46.8102812204
XMR,2019-01-03,49.9169637064,50.8249948231,51.6234207621,48.9428669493
XMR,2019-01-04,50.0973145957,49.8729871896,50.633114558,48.9431639884
XMR,2019-01-05,49.8315137656,50.0973145217,51.4765121957,49.2988771953
XMR,2019-01-06,53.9730640521,49.9634257903,54.2884992755,49.0779862416
