Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
XLM,2019-05-09,0.0896361128,0.0940633829,0.0948364845,0.0878662244
XLM,2019-05-10,0.0939292956,0.0896466272,0.0947323138,0.0890760907
XLM,2019-05-11,0.1065675774,0.0940084122,0.1068203653,0.0939696312
XLM,2019-05-12,0.1002546179,0.1054363824,0.1074889628,0.0969993913
XLM,2019-05-13,0.1021267732,0.1002546179,0.1051579248,0.0995481754
XLM,2019-05-14,0.1131556589,0.1021267732,0.1188372433,0.100315728
XLM,2019-05-15,0.1377397524,0.1159953998,0.1406544523,0.1154196428
XLM,2019-05-16,0.1451736809,0.1377452657,0.1685374044,0.1368831182
XLM,2019-05-17,0.1339917767,0.1451738551,0.1484779836,0.1217401057
XLM,2019-05-18,0.1381981671,0.1339917767,0.1484205353,0.1338808954
XLM,2019-05-19,0.1520277376,0.1380080716,0.1520286355,0.1372865271
XLM,2019-05-20,0.1354583805,0.1520277376,0.1526082402,0.1157707047
XLM,2019-05-21,0.1349135602,0.1362747314,0.1375436122,0.1322631443
XLM,2019-05-22,0.1248163246,0.134912712,0.138135492,0.1209974632
XLM,2019-05-23,0.1265380067,0.1248183567,0.1269240057,0.1182067693
